DATE,START,END,DURATION,ID,TOPIC,BOOTCAMP,TIMEZONE
12/09/2020,2020-12-09 11:59:00,2020-12-09 12:56:00,57.0,7,EXCEL_VBA,FULL_STACK,UNKNOWN
12/10/2020,2020-12-10 05:31:00,2020-12-10 06:23:00,52.0,294,SQL,FULL_STACK,UNKNOWN
12/11/2020,2020-12-11 14:00:00,2020-12-11 15:00:00,60.0,28,EXCEL_VBA,FULL_STACK,UNKNOWN
12/14/2020,2020-12-14 15:00:00,2020-12-14 16:40:00,100.0,38,JAVASCRIPT,FULL_STACK,PACIFIC
12/18/2020,2020-12-18 07:59:00,2020-12-18 08:55:00,56.0,81,SQL,FULL_STACK,PACIFIC
12/26/2020,2020-12-26 19:55:00,2020-12-26 20:58:00,63.0,81,JAVASCRIPT,FULL_STACK,PACIFIC
12/28/2020,2020-12-28 19:51:00,2020-12-28 20:51:00,60.0,323,HTML_CSS,FULL_STACK,PACIFIC
12/30/2020,2020-12-30 15:57:00,2020-12-30 16:47:00,50.0,38,JAVASCRIPT,FULL_STACK,PACIFIC
1/2/2021,2021-01-02 19:59:00,2021-01-02 20:52:00,53.0,81,JAVASCRIPT,FULL_STACK,PACIFIC
01/08/2021,2021-01-08 07:00:00,2021-01-08 07:54:00,54.0,306,EXCEL_VBA,DATA,EASTERN
01/08/2021,2021-01-08 08:00:00,2021-01-08 08:50:00,50.0,81,JAVASCRIPT,FULL_STACK,PACIFIC
01/09/2021,2021-01-09 18:55:00,2021-01-09 19:50:00,55.0,90,EXCEL_VBA,DATA,EASTERN
01/09/2021,2021-01-09 09:00:00,2021-01-09 09:54:00,54.0,189,EXCEL_VBA,FULL_STACK,UNKNOWN
01/11/2021,2021-01-11 12:00:00,2021-01-11 12:52:00,52.0,306,PYTHON_PANDAS_MATPLOTLIB,DATA,EASTERN
01/11/2021,2021-01-11 20:01:00,2021-01-11 20:52:00,51.0,323,COMPUTER_SCIENCE,FULL_STACK,PACIFIC
01/14/2021,2021-01-14 15:00:00,2021-01-14 15:58:00,58.0,38,NODE_EXPRESS,FULL_STACK,PACIFIC
01/14/2021,2021-01-14 19:57:00,2021-01-14 20:47:00,50.0,81,JAVASCRIPT,FULL_STACK,PACIFIC
01/16/2021,2021-01-16 21:01:00,2021-01-16 22:00:00,59.0,90,PYTHON_PANDAS_MATPLOTLIB,DATA,EASTERN
